tab	locations
location
Snake River
>>>>>>>>>>tab	samples
sample	site
sr01e	sr01
sr01g	sr01
sr01a	sr01
sr01c	sr01
sr01d	sr01
sr01i	sr01
sr01f	sr01
>>>>>>>>>>tab	specimens
specimen	sample	citations	method_codes	result_quality	result_type
sr01e2	sr01e	a different study			
sr01g2	sr01g	This study			
sr01a1	sr01a	This study			
sr01a2	sr01a	This study			
sr01c2	sr01c	This study			
sr01d1	sr01d	This study			
sr01i1	sr01i	This study			
sr01f2	sr01f	This study			
>>>>>>>>>>tab	sites
site	location
sr01	Snake River
>>>>>>>>>>tab	measurements
citations	dir_dec	dir_inc	experiment	instrument_codes	magn_moment	meas_temp	method_codes	number	specimen	treat_ac_field	treat_dc_field	treat_dc_field_phi	treat_dc_field_theta	treat_temp
This study	200.6	27.9	sr01e2:LP-DIR-AF		2.93e-05	273.0	LT-NO:LP-DIR-AF	0	sr01e2	0.0				273.0
This study	201.0	27.7	sr01e2:LP-DIR-AF		2.83e-05	273.0	LT-AF-Z:LP-DIR-AF	1	sr01e2	0.01				273.0
This study	200.5	27.4	sr01e2:LP-DIR-AF		2.61e-05	273.0	LT-AF-Z:LP-DIR-AF	2	sr01e2	0.02				273.0
This study	199.9	27.7	sr01e2:LP-DIR-AF		2.37e-05	273.0	LT-AF-Z:LP-DIR-AF	3	sr01e2	0.03				273.0
This study	202.5	27.9	sr01e2:LP-DIR-AF		1.85e-05	273.0	LT-AF-Z:LP-DIR-AF	4	sr01e2	0.06				273.0
This study	199.4	27.4	sr01e2:LP-DIR-AF		1.54e-05	273.0	LT-AF-Z:LP-DIR-AF	5	sr01e2	0.08				273.0
This study	200.3	27.9	sr01e2:LP-DIR-AF		1.26e-05	273.0	LT-AF-Z:LP-DIR-AF	6	sr01e2	0.1				273.0
This study	198.9	27.6	sr01e2:LP-DIR-AF		1.05e-05	273.0	LT-AF-Z:LP-DIR-AF	7	sr01e2	0.12				273.0
This study	201.6	27.9	sr01e2:LP-DIR-AF		8.73e-06	273.0	LT-AF-Z:LP-DIR-AF	8	sr01e2	0.14				273.0
This study	200.5	27.2	sr01e2:LP-DIR-AF		7.63e-06	273.0	LT-AF-Z:LP-DIR-AF	9	sr01e2	0.16				273.0
This study	202.3	27.7	sr01e2:LP-DIR-AF		6.55e-06	273.0	LT-AF-Z:LP-DIR-AF	10	sr01e2	0.18				273.0
This study	178.7	39.1	sr01g2:LP-DIR-AF		2.28e-05	273.0	LT-NO:LP-DIR-AF	0	sr01g2	0.0				273.0
This study	180.6	38.3	sr01g2:LP-DIR-AF		2.18e-05	273.0	LT-AF-Z:LP-DIR-AF	1	sr01g2	0.01				273.0
This study	177.9	38.2	sr01g2:LP-DIR-AF		1.92e-05	273.0	LT-AF-Z:LP-DIR-AF	2	sr01g2	0.02				273.0
This study	180.0	38.2	sr01g2:LP-DIR-AF		1.64e-05	273.0	LT-AF-Z:LP-DIR-AF	3	sr01g2	0.03				273.0
This study	179.8	38.5	sr01g2:LP-DIR-AF		1.42e-05	273.0	LT-AF-Z:LP-DIR-AF	4	sr01g2	0.04				273.0
This study	182.9	38.3	sr01g2:LP-DIR-AF		1.14e-05	273.0	LT-AF-Z:LP-DIR-AF	5	sr01g2	0.06				273.0
This study	183.1	38.2	sr01g2:LP-DIR-AF		9.46e-06	273.0	LT-AF-Z:LP-DIR-AF	6	sr01g2	0.08				273.0
This study	179.5	38.2	sr01g2:LP-DIR-AF		7.97e-06	273.0	LT-AF-Z:LP-DIR-AF	7	sr01g2	0.1				273.0
This study	181.5	38.3	sr01g2:LP-DIR-AF		6.69e-06	273.0	LT-AF-Z:LP-DIR-AF	8	sr01g2	0.12				273.0
This study	179.1	38.2	sr01g2:LP-DIR-AF		5.67e-06	273.0	LT-AF-Z:LP-DIR-AF	9	sr01g2	0.14				273.0
