xdata,ydata1,ydata2
1338476400000,4,8
1339476400000,8,16
1340476400000,8,16
1341476400000,7,14
1342476400000,7,14
1343476400000,8,16
1344476400000,11,22
1345476400000,14,28
1346476400000,15,30
1347476400000,10,20
1348476400000,15,30
1349476400000,19,38
1350476400000,18,36
1351476400000,23,46
1352476400000,19,38
1353476400000,25,50
1354476400000,20,40
1355476400000,21,42
1356476400000,20,40
1357476400000,28,56
1358476400000,24,48
1359476400000,31,62
1360476400000,24,48
1361476400000,25,50
1362476400000,28,56
1363476400000,31,62
1364476400000,27,54
1365476400000,32,64
1366476400000,38,76
1367476400000,32,64
1368476400000,37,74
1369476400000,38,76
1370476400000,42,84
1371476400000,34,68
1372476400000,39,78
1373476400000,45,90
1374476400000,43,86
1375476400000,40,80
1376476400000,41,82
1377476400000,47,94
1378476400000,49,98
1379476400000,50,100
1380476400000,45,90
1381476400000,50,100
1382476400000,51,102
1383476400000,52,104
1384476400000,51,102
1385476400000,57,114
1386476400000,51,102
1387476400000,57,114
